,model_1,model_2,winrate
0,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00000_0_clip_param-0.1000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-26-53,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00001_1_clip_param-0.2000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-50-44,0.53
1,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00000_0_clip_param-0.1000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-26-53,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00002_2_clip_param-0.3000-gamma-0.9000-train_batch_size-10000_2024-04-21_21-28-22,0.48
2,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00000_0_clip_param-0.1000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-26-53,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00003_3_clip_param-0.1000-gamma-0.9500-train_batch_size-10000_2024-04-21_21-54-16,0.44
3,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00000_0_clip_param-0.1000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-26-53,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00004_4_clip_param-0.2000-gamma-0.9500-train_batch_size-10000_2024-04-21_22-20-05,0.48
4,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00000_0_clip_param-0.1000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-26-53,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00005_5_clip_param-0.3000-gamma-0.9500-train_batch_size-10000_2024-04-21_22-44-47,0.45
5,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00000_0_clip_param-0.1000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-26-53,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00006_6_clip_param-0.1000-gamma-0.9900-train_batch_size-10000_2024-04-21_23-10-35,0.47
6,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00000_0_clip_param-0.1000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-26-53,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00007_7_clip_param-0.2000-gamma-0.9900-train_batch_size-10000_2024-04-21_23-37-22,0.53
7,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00000_0_clip_param-0.1000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-26-53,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00008_8_clip_param-0.3000-gamma-0.9900-train_batch_size-10000_2024-04-22_00-04-34,0.48
8,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00000_0_clip_param-0.1000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-26-53,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_2\PPO_Coup_8d620_00000_0_clip_param-0.1000-entropy_coeff-0.0100-gamma-0.9500_2024-04-22_20-57-30,0.42
9,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_1\PPO_Coup_1bd85_00000_0_clip_param-0.1000-gamma-0.9000-train_batch_size-10000_2024-04-21_20-26-53,c:\Users\josep\Documents\Coup-RL\Coup\coup\ray_results\PPO_decentralised\test_2\PPO_Coup_8d620_00001_1_clip_param-0.2000-entropy_coeff-0.0100-gamma-0.9500_2024-04-22_21-45-33,0.46
